WKT,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act,srcUpdateTime,updateTime,infoTime,infoDate,﻿站點名稱,緯度,經度,圖片,站點位置
"POINT (121.52982 25.01986)",5.00101012E8,YouBike2.0_辛亥路一段30號前,8.0,3.0,大安區,2023-04-17 06:40:39,25.01986,121.52982,辛亥路一段30號,Daan Dist.,YouBike2.0_No. 30， Sec. 1， Xinhai Rd.,No. 30， Sec. 1， Xinhai Rd.,5.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:40:39,2023-04-17,,,,,
"POINT (121.54332 25.02543)",5.00101013E8,YouBike2.0_和平復興路口西北側,9.0,6.0,大安區,2023-04-17 06:52:38,25.02543,121.54332,復興南路二段236號,Daan Dist.,YouBike2.0_Heping Fuxing Rd. Intersection (Northwest),No. 236， Sec. 2， Fuxing S. Rd.,3.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:52:38,2023-04-17,,,,,
"POINT (121.53202 25.01717)",5.00101014E8,YouBike2.0_羅斯福路三段311號前,11.0,0.0,大安區,2023-04-17 03:48:04,25.01717,121.53202,羅斯福路三段311號,Daan Dist.,YouBike2.0_No. 311， Sec. 3， Roosevelt Rd.,No. 311， Sec. 3， Roosevelt Rd.,11.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 03:48:04,2023-04-17,,,,,
"POINT (121.546446 25.020348)",5.00101015E8,YouBike2.0_大安運動中心停車場,14.0,3.0,大安區,2023-04-17 06:54:39,25.020348,121.546446,敦南街76巷28號,Daan Dist.,YouBike2.0_Taipei Da-an Sports Center Parking lot,No. 28， Ln. 76， Dunnan St.,11.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:54:39,2023-04-17,,,,,
"POINT (121.52989 25.01927)",5.00101016E8,YouBike2.0_羅斯福路三段245號前,8.0,3.0,大安區,2023-04-17 05:31:21,25.01927,121.52989,羅斯福路三段245號,Daan Dist.,YouBike2.0_No. 245， Sec. 3， Roosevelt Rd.,No. 245， Sec. 3， Roosevelt Rd.,5.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 05:31:21,2023-04-17,,,,,
"POINT (121.53156 25.01895)",5.00101018E8,YouBike2.0_溫州公園,5.0,1.0,大安區,2023-04-17 06:47:04,25.01895,121.53156,羅斯福路三段283巷11號,Daan Dist.,YouBike2.0_Wenzhou Park,No. 11， Ln. 283， Sec. 3， Roosevelt Rd.,4.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:47:04,2023-04-17,,,,,
"POINT (121.546705 25.024461)",5.00101019E8,YouBike2.0_和平臥龍街口,15.0,14.0,大安區,2023-04-17 06:48:13,25.024461,121.546705,臥龍街1號,Daan Dist.,YouBike2.0_Heping Wolong St. Intersection,No. 1， Wolong St.,1.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:48:13,2023-04-17,,,,,
"POINT (121.5331 25.02093)",5.0010102E8,YouBike2.0_溫州停車場,5.0,4.0,大安區,2023-04-17 06:45:04,25.02093,121.5331,新生南路三段54巷/溫州街口,Daan Dist.,YouBike2.0_Wenzhou Parking Lot,Ln. 54， Sec. 3， Xinsheng S. Rd. & Wenzhou St. Intersection,1.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:45:04,2023-04-17,,,,,
"POINT (121.53549 25.01385)",5.00101021E8,YouBike2.0_銘傳國小側門,7.0,4.0,大安區,2023-04-17 06:53:41,25.01385,121.53549,羅斯福路四段21號旁天橋下,Daan Dist.,YouBike2.0_Taipei Municipal MingChuan Elementary School(Side Gate),No. 21， Sec. 4， Roosevelt Rd.,3.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:53:41,2023-04-17,,,,,
"POINT (121.53438 25.01491)",5.00101022E8,YouBike2.0_捷運公館站(2號出口),99.0,38.0,大安區,2023-04-17 06:54:13,25.01491,121.53438,捷運公館站(2號出口)外側,Daan Dist.,YouBike2.0_MRT Gongguan Sta. (Exit 2),MRT Gongguan Sta. (Exit 2),61.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:54:13,2023-04-17,,,,,
"POINT (121.53661 25.01244)",5.00101023E8,YouBike2.0_第二學生活動中心,27.0,19.0,大安區,2023-04-17 06:48:13,25.01244,121.53661,羅斯福路四段107號(西南側),Daan Dist.,YouBike2.0_2nd Student Activity Center,No. 107， Sec. 4， Roosevelt Rd.(Southwest),8.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:48:13,2023-04-17,,,,,
"POINT (121.54142 25.01451)",5.00101024E8,YouBike2.0_臺灣科技大學正門,30.0,0.0,大安區,2023-04-17 00:54:04,25.01451,121.54142,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),Daan Dist.,YouBike2.0_NTUST(Main Gate),No. 43， Sec. 4， Keelung Rd.,30.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 00:54:04,2023-04-17,,,,,
"POINT (121.53973 25.01295)",5.00101025E8,YouBike2.0_臺灣科技大學側門,99.0,5.0,大安區,2023-04-17 06:53:17,25.01295,121.53973,基隆路四段73巷與基隆路口,Daan Dist.,YouBike2.0_NTUST(Side Gate),Ln. 73， Sec. 4， Keelung Rd. Intersection,94.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:53:17,2023-04-17,,,,,
"POINT (121.54062 25.01137)",5.00101026E8,YouBike2.0_公館公園,15.0,4.0,大安區,2023-04-17 06:48:13,25.01137,121.54062,羅斯福路四段113巷基隆路四段41巷口,Daan Dist.,YouBike2.0_Gongguan Park,Ln. 113， Sec. 4， Roosevelt Rd. & Ln. 41， Sec. 4， Keelung Rd. Intersection,11.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:48:13,2023-04-17,,,,,
"POINT (121.54165 25.01182)",5.00101027E8,YouBike2.0_臺灣科技大學後門,39.0,18.0,大安區,2023-04-17 06:35:14,25.01182,121.54165,基隆路四段41巷68弄臺科帆船大樓旁,Daan Dist.,YouBike2.0_NTUST(Back Gate),Aly. 68， Ln. 41， Sec. 4， Keelung Rd.,21.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:35:14,2023-04-17,,,,,
"POINT (121.54382 25.01426)",5.00101028E8,YouBike2.0_臺大醫學院附設癌醫中心,20.0,7.0,大安區,2023-04-17 06:33:38,25.01426,121.54382,基隆路三段155巷57號西側,Daan Dist.,YouBike2.0_NTU Cancer Center,No. 57， Ln. 155， Sec. 3， Keelung Rd.(West),13.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:33:38,2023-04-17,,,,,
"POINT (121.54503 25.01234)",5.00101029E8,YouBike2.0_臺大環研大樓,15.0,7.0,大安區,2023-04-17 06:20:40,25.01234,121.54503,芳蘭路/基隆路三段155巷口,Daan Dist.,YouBike2.0_NTU Environment Research Building,Fanglan Rd & Ln. 155， Sec. 3， Keelung Rd. Intersection,8.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:20:40,2023-04-17,,,,,
"POINT (121.54656 25.0136)",5.0010103E8,YouBike2.0_臺大永齡生醫工程館,34.0,4.0,大安區,2023-04-17 06:47:13,25.0136,121.54656,芳蘭路51號西北側,Daan Dist.,YouBike2.0_NTU Yonglin Biomedical Engineering Hall,No. 51， Fanglan Rd.(Northwest),30.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:47:13,2023-04-17,,,,,
"POINT (121.54698 25.01537)",5.00101031E8,YouBike2.0_臺大男七舍前,20.0,8.0,大安區,2023-04-17 04:41:13,25.01537,121.54698,長興街/長興街80巷口西側,Daan Dist.,YouBike2.0_NTU 7th Men's Dorm,Ln. 80， Changxing St. Intersection(West),12.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 04:41:13,2023-04-17,,,,,
"POINT (121.54535 25.01637)",5.00101032E8,YouBike2.0_臺大男一舍前,61.0,37.0,大安區,2023-04-17 06:54:39,25.01637,121.54535,長興街50號西北側,Daan Dist.,YouBike2.0_NTU 1st Men's Dorm,No. 50， Changxing St.(Northwest),24.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:54:39,2023-04-17,,,,,
"POINT (121.5452 25.01664)",5.00101033E8,YouBike2.0_臺大男六舍前,46.0,23.0,大安區,2023-04-17 06:12:13,25.01664,121.5452,大安區長興街31號,Daan Dist.,YouBike2.0_NTU 6th Men's Dorm,No. 31， Changxing St.,23.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:12:13,2023-04-17,,,,,
"POINT (121.54291 25.01576)",5.00101034E8,YouBike2.0_臺大動物醫院前,18.0,6.0,大安區,2023-04-17 06:52:38,25.01576,121.54291,基隆路三段155巷/基隆路四段口,Daan Dist.,YouBike2.0_NTU Veterinary Hospital,Ln. 155， Sec. 3， Keelung Rd. Intersection,12.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:52:38,2023-04-17,,,,,
"POINT (121.5476 25.01787)",5.00101035E8,YouBike2.0_臺大土木研究大樓前,24.0,5.0,大安區,2023-04-17 06:54:13,25.01787,121.5476,辛亥路三段188號,Daan Dist.,YouBike2.0_NTU Civil Engineering Research Building,No. 188， Sec. 3， Xinhai Rd.,19.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:54:13,2023-04-17,,,,,
"POINT (121.54497 25.02032)",5.00101036E8,YouBike2.0_臺大萬才館前,20.0,1.0,大安區,2023-04-17 05:25:13,25.02032,121.54497,臺大萬才館北側,Daan Dist.,YouBike2.0_NTU Wan Tsai Research Hall,NTU Wan Tsai Research Hall,19.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 05:25:13,2023-04-17,,,,,
"POINT (121.54432 25.02076)",5.00101037E8,YouBike2.0_臺大國青大樓宿舍前,20.0,2.0,大安區,2023-04-17 04:55:10,25.02076,121.54432,辛亥路三段30號西北側,Daan Dist.,YouBike2.0_NTU Guo - Ching Building,No. 30， Sec. 3， Xinhai Rd.(Northwest),18.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 04:55:10,2023-04-17,,,,,
"POINT (121.54284 25.02101)",5.00101038E8,YouBike2.0_臺大社科院圖書館前,27.0,0.0,大安區,2023-04-16 23:59:04,25.02101,121.54284,辛亥路與復興南路口西南側,Daan Dist.,YouBike2.0_NTU College of social Sciences Building,Xinhai Fuxing Rd. Intersection (Southwest),27.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-16 23:59:04,2023-04-16,,,,,
"POINT (121.54081 25.02104)",5.00101039E8,YouBike2.0_臺大法人語言訓練中心前,28.0,2.0,大安區,2023-04-17 06:42:39,25.02104,121.54081,臺大法人語言訓練中心北側,Daan Dist.,YouBike2.0_NTU Language Training & Testing Center,NTU Language Training & Testing Center(North),26.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:42:39,2023-04-17,,,,,
"POINT (121.53626 25.0222)",5.0010104E8,YouBike2.0_臺大綜合體育館停車場前,25.0,4.0,大安區,2023-04-17 05:43:38,25.0222,121.53626,臺大綜合體育館北側,Daan Dist.,YouBike2.0_NTU Sports Center Car Park,NTU Sports Center(North),21.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 05:43:38,2023-04-17,,,,,
"POINT (121.53474 25.02218)",5.00101041E8,YouBike2.0_辛亥新生路口東南側,41.0,15.0,大安區,2023-04-17 06:14:38,25.02218,121.53474,辛亥新生路口東南側,Daan Dist.,YouBike2.0_Xinhai Xinsheng Rd. Intersection (Southeast),Xinhai Xinsheng Rd. Intersection (Southeast),26.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:14:38,2023-04-17,,,,,
"POINT (121.54471 25.01727)",5.00101042E8,YouBike2.0_基隆長興路口東側,15.0,10.0,大安區,2023-04-17 06:20:40,25.01727,121.54471,基隆長興路口東側,Daan Dist.,YouBike2.0_Keelung Changxing Rd. Intersection(East),Keelung Changxing Rd. Intersection(East),5.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:20:40,2023-04-17,,,,,
"POINT (121.546622 25.022864)",5.00101091E8,YouBike2.0_國北教大側門南側,25.0,9.0,大安區,2023-04-17 01:03:39,25.022864,121.546622,敦南街51號,Daan Dist.,YouBike2.0_NTUE Side Gate(South),No. 51， Dunnan St.,16.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 01:03:39,2023-04-17,,,,,
"POINT (121.54704 25.021641)",5.00101092E8,YouBike2.0_和平實小東北側,13.0,8.0,大安區,2023-04-17 06:50:20,25.021641,121.54704,敦南街73號,Daan Dist.,YouBike2.0_Heping Experiment Elementary School (Northeast),No. 73， Dunnan St.,5.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:50:20,2023-04-17,,,,,
"POINT (121.544069 25.021469)",5.00101093E8,YouBike2.0_大安區健康服務中心,15.0,6.0,大安區,2023-04-17 06:32:41,25.021469,121.544069,辛亥路三段15號,Daan Dist.,YouBike2.0_Daan District Public Health Center,No. 15， Sec. 1， Xinhai Rd.,9.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:32:41,2023-04-17,,,,,
"POINT (121.53165 25.02193)",5.00101094E8,YouBike2.0_辛亥泰順街口,20.0,6.0,大安區,2023-04-17 06:46:38,25.02193,121.53165,辛亥泰順街口東南側,Daan Dist.,YouBike2.0_Xinhai Taishun St. Intersection,Xinhai Taishun St. Intersection (Southeast),14.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:46:38,2023-04-17,,,,,
"POINT (121.55013 25.0189)",5.00101095E8,YouBike2.0_芳和國中,28.0,0.0,大安區,2023-04-17 06:18:04,25.0189,121.55013,臥龍街170號(前),Daan Dist.,YouBike2.0_Fanghe Junior High School,No. 170， Wolong St.,28.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:18:04,2023-04-17,,,,,
"POINT (121.55558 25.01856)",5.00101097E8,YouBike2.0_臥龍樂業街口,36.0,18.0,大安區,2023-04-17 06:45:14,25.01856,121.55558,臥龍街234-2號,Daan Dist.,YouBike2.0_Wolong Leye St. Intersection,No. 234-2， Wolong St.,18.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:45:14,2023-04-17,,,,,
"POINT (121.55037 25.01623)",5.00101098E8,YouBike2.0_臥龍公園,14.0,6.0,大安區,2023-04-17 06:03:12,25.01623,121.55037,辛亥路三段223號西側,Daan Dist.,YouBike2.0_Wolong Park,No. 223， Sec. 3， Xinhai Rd. (West),8.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:03:12,2023-04-17,,,,,
"POINT (121.55211 25.021)",5.00101099E8,YouBike2.0_嘉興公園,44.0,32.0,大安區,2023-04-17 06:52:13,25.021,121.55211,樂業街101巷3號西北側,Daan Dist.,YouBike2.0_Jiaxing Park,No. 3， Ln. 101， Leye St. (Northwest),12.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:52:13,2023-04-17,,,,,
"POINT (121.55929 25.0181)",5.001011E8,YouBike2.0_捷運麟光站(2號出口),35.0,17.0,大安區,2023-04-17 06:51:38,25.0181,121.55929,和平東路三段420號東北側,Daan Dist.,YouBike2.0_MRT Linguang Sta. (Exit 2),No. 420， Sec. 3， Heping E. Rd. (Northeast),18.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:51:38,2023-04-17,,,,,
"POINT (121.55266 25.02397)",5.00101101E8,YouBike2.0_捷運六張犁站,64.0,6.0,大安區,2023-04-17 06:54:39,25.02397,121.55266,和平東路三段410號,Daan Dist.,YouBike2.0_MRT Liuzhangli Sta.,No. 410， Sec. 3， Heping E. Rd.,58.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:54:39,2023-04-17,,,,,
"POINT (121.55551 25.02705)",5.00101102E8,YouBike2.0_喬治工商,26.0,14.0,大安區,2023-04-17 06:40:39,25.02705,121.55551,基隆路二段166號,Daan Dist.,YouBike2.0_George Vocational High School of Taipei,No. 166， Sec. 2， Keelung Rd.,12.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:40:39,2023-04-17,,,,,
"POINT (121.55325 25.02694)",5.00101103E8,YouBike2.0_法治公園,15.0,3.0,大安區,2023-04-17 06:52:38,25.02694,121.55325,通化街189號西側,Daan Dist.,YouBike2.0_Fazhi Park,No. 189， Tonghua St. (West),12.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:52:38,2023-04-17,,,,,
"POINT (121.52942 25.02021)",5.00101104E8,YouBike2.0_捷運臺電大樓站(2號出口),15.0,7.0,大安區,2023-04-17 06:46:13,25.02021,121.52942,辛亥路一段/羅斯福路三段口北側(辛亥路側),Daan Dist.,YouBike2.0_MRT Taipower Building Sta. (Exit 2),Sec. 1， Xinhai Rd & Sec. 3， Roosevelt Rd (North),8.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:46:13,2023-04-17,,,,,
"POINT (121.52529 25.02669)",5.00101105E8,YouBike2.0_和平金山路口,45.0,3.0,大安區,2023-04-17 06:52:13,25.02669,121.52529,和平東路一段/金山南路二段西南側,Daan Dist.,YouBike2.0_Sec. 1， Heping E. Rd & Sec. 2， Jinshan S. Rd Intersection,Sec. 1， Heping E. Rd & Sec. 2， Jinshan S. Rd Intersection (Southwest),42.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:52:13,2023-04-17,,,,,
"POINT (121.52971 25.02638)",5.00101107E8,YouBike2.0_和平龍泉街口,34.0,1.0,大安區,2023-04-17 06:30:29,25.02638,121.52971,和平東路一段/龍泉街口西南側,Daan Dist.,YouBike2.0_Sec. 1， Heping E. Rd & Longquan St. Intersection,Sec. 1， Heping E. Rd & Longquan St. Intersection (Southwest),33.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:30:29,2023-04-17,,,,,
"POINT (121.53171 25.02621)",5.00101108E8,YouBike2.0_和平泰順街口,9.0,1.0,大安區,2023-04-17 06:54:39,25.02621,121.53171,和平東路一段/泰順街口東南側,Daan Dist.,YouBike2.0_Sec. 1， Heping E. Rd & Taishun St  Intersection,Sec. 1， Heping E. Rd & Taishun St  Intersection (Southeast),8.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:54:39,2023-04-17,,,,,
"POINT (121.52973 25.0266)",5.00101109E8,YouBike2.0_臺灣師範大學(圖書館),40.0,4.0,大安區,2023-04-17 06:54:13,25.0266,121.52973,和平東路一段129號前,Daan Dist.,YouBike2.0_National Taiwan Normal University (library),No. 129， Sec. 1， Heping E. Rd.,36.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:54:13,2023-04-17,,,,,
"POINT (121.52217 25.0276)",5.0010111E8,YouBike2.0_捷運古亭站(6號出口),60.0,46.0,大安區,2023-04-17 06:41:12,25.0276,121.52217,羅斯福路二段41號前,Daan Dist.,YouBike2.0_MRT Guting Sta. (Exit 6),No. 41， Sec. 2， Roosevelt Rd,14.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:41:12,2023-04-17,,,,,
"POINT (121.52293 25.02715)",5.00101111E8,YouBike2.0_捷運古亭站(5號出口),14.0,1.0,大安區,2023-04-17 06:50:20,25.02715,121.52293,和平東路一段19號前,Daan Dist.,YouBike2.0_MRT Guting Sta. (Exit 5),No. 19， Sec. 1， Heping E. Rd,13.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:50:20,2023-04-17,,,,,
"POINT (121.5379 25.02895)",5.00101113E8,YouBike2.0_臺北市立圖書館(總館),45.0,14.0,大安區,2023-04-17 06:54:13,25.02895,121.5379,建國南路二段/建國南路二段151巷(橋下空間),Daan Dist.,YouBike2.0_Taipei Public library,Sec. 2， Jianguo S. Rd & Ln. 151， Sec. 2， Jianguo S. Rd (Under Bridge),31.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:54:13,2023-04-17,,,,,
"POINT (121.53515 25.02657)",5.00101114E8,YouBike2.0_新生和平路口東北側,38.0,5.0,大安區,2023-04-17 06:53:41,25.02657,121.53515,新生南路二段與和平東路二段口東北側,Daan Dist.,YouBike2.0_Sec. 2， Xinsheng S. Rd & Sec. 2， Heping E. Rd Intersection,Sec. 2， Xinsheng S. Rd & Sec. 2， Heping E. Rd (Northeast),33.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:53:41,2023-04-17,,,,,
"POINT (121.53738 25.02606)",5.00101115E8,YouBike2.0_建國和平路口西北側,44.0,10.0,大安區,2023-04-17 06:54:13,25.02606,121.53738,建國南路二段與和平東路二段口西北側,Daan Dist.,YouBike2.0_Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd Intersection,Sec. 2， Jianguo S. Rd & Sec. 2， Heping E. Rd. (Northwest),34.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:54:13,2023-04-17,,,,,
"POINT (121.53107 25.02984)",5.00101116E8,YouBike2.0_金華公園,35.0,13.0,大安區,2023-04-17 06:52:13,25.02984,121.53107,金華街249號對面,Daan Dist.,YouBike2.0_Jinhua Park,No. 249， Jinhua St. (Opposite),22.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:52:13,2023-04-17,,,,,
"POINT (121.52815 25.03383)",5.00101117E8,YouBike2.0_捷運東門站(3號出口),15.0,2.0,大安區,2023-04-17 06:51:14,25.03383,121.52815,信義路二段128號前,Daan Dist.,YouBike2.0_MRT Dongmen Sta. (Exit 3),No. 128， Sec. 2， Xinyi Rd.,13.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:51:14,2023-04-17,,,,,
"POINT (121.5245 25.03519)",5.00101118E8,YouBike2.0_金甌女中,12.0,2.0,大安區,2023-04-17 06:54:13,25.03519,121.5245,信義路二段與杭州南路二段東南側,Daan Dist.,YouBike2.0_Jin'ou Girls High School,Sec. 2， Xinyi Rd. & Sec. 2， Hangzhou S. Rd. (Southeast),10.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:54:13,2023-04-17,,,,,
"POINT (121.52436 25.03325)",5.00101119E8,YouBike2.0_金杭公園,20.0,10.0,大安區,2023-04-17 06:53:17,25.03325,121.52436,愛國東路21巷與杭州南路二段25巷口東南側,Daan Dist.,YouBike2.0_Jinhang Park,Ln. 21， Aiguo E. Rd. & Ln. 25， Sec. 2， Hangzhou S. Rd. Intersection (Southeast),10.0,1.0,2023-04-17 06:55:14,2023-04-17 06:55:25,2023-04-17 06:53:17,2023-04-17,,,,,
