½n«×,¸g«×
22.98615,120.19475
22.98372,120.21946
22.99657,120.2158
22.99271,120.21789
22.96897,120.22558
22.98139,120.21782
22.97976,120.21934
22.97705,120.23231
22.98929,120.23116
22.98509,120.2409
22.98218,120.24588
22.99139,120.21502
22.99114,120.22462
22.98537,120.22246
22.99833,120.23606
22.99653,120.21491
22.99614,120.21822
23.04617,120.18795
22.99138,120.15929
23.05829,120.23282
23.00301,120.16089
22.99055,120.18283
22.98634,120.15221
22.98923,120.18674
22.99291,120.15681
22.98143,120.15642
22.99737,120.17677
22.99301,120.18457
22.99757,120.16055
22.99667,120.16381
22.99437,120.16768
23.00328,120.21734
23.02378,120.25289
23.00202,120.1581
23.01282,120.20197
23.01028,120.21164
23.01205,120.21663
23.00176,120.20932
23.00108,120.21824
23.01131,120.2004
23.004,120.20059
22.92231,120.22728
22.9328,120.2306
23.01182,120.19377
22.93732,120.22319
22.93625,120.22868
22.98844,120.20793
22.99111,120.20392
22.99715,120.20639
22.9884,120.19852
22.99013,120.20049
22.99841,120.19767
22.99461,120.19644
22.99752,120.20227
22.99781,120.18759
22.54069,120.53718
22.54864,120.54032
24.2437,120.54346
24.29185,120.55467
24.19271,120.71044
24.17607,120.70968
24.20761,120.59945
22.55173,120.53682
22.54815,120.5429
22.52646,120.53628
22.53357,120.53894
22.53792,120.59144
22.54667,120.56287
22.54939,120.55576
24.98229,121.5035
25.07553,121.66558
24.86968,120.99644
24.86983,120.99204
24.87219,120.9919
24.86475,120.99025
24.878,120.9982
24.87642,120.99673
24.87558,120.99439
24.87222,120.99724
24.8649,120.98772
24.901,120.98532
24.89979,120.98791
24.88034,121.00681
22.55376,120.54271
24.92177,121.05573
24.91918,121.055
24.86924,120.9969
24.89124,121.05102
24.87704,121.05883
24.87207,121.01277
24.87302,121.01432
24.87249,121.01775
24.86759,121.02771
24.9029,121.04669
24.90111,121.04788
24.90068,121.04604
24.89831,121.04253
24.89575,121.04216
25.0721,121.60991
25.02186,121.55532
25.05139,121.57062
25.02507,121.51645
25.00198,121.54856
25.11642,121.53743
24.11018,120.6653
24.12827,120.65567
24.34655,120.64337
24.26543,120.55588
24.17223,120.71728
22.6593,120.51221
22.6523,120.50263
22.67673,120.50008
22.66413,120.50413
22.67035,120.50084
22.68773,120.48871
22.69126,120.48733
22.67879,120.48181
22.68484,120.47704
22.68722,120.47977
22.67575,120.48859
22.67596,120.49117
22.6767,120.49411
22.67853,120.49191
22.67688,120.48476
22.68343,120.48892
22.66632,120.48432
22.66922,120.48742
22.66629,120.49246
22.66221,120.47603
22.66948,120.48473
22.67366,120.4931
22.66856,120.49052
22.66343,120.48654
22.65649,120.4871
22.68843,120.49477
22.68629,120.50168
22.68104,120.50097
22.67407,120.50072
22.67871,120.4751
22.66056,120.47309
25.04127,121.52697
25.05676,121.52268
25.00223,121.57039
25.11579,121.53113
24.17625,120.71293
24.14165,120.70849
24.78142,121.00607
24.78004,121.0054
24.77874,121.01078
24.77739,121.01466
24.77279,121.01881
24.77092,121.02517
24.77282,121.01019
24.77884,120.99843
24.78386,120.9942
24.77786,121.00223
24.77395,121.0155
24.76807,121.01915
24.77678,120.99512
24.78228,121.00198
24.77872,120.98996
25.13713,121.49706
24.14895,120.64974
24.3497,120.66125
24.34383,120.66359
24.17019,120.72462
24.97077,121.51686
24.97752,121.52737
25.00203,121.46885
24.34867,120.65641
24.33326,120.63279
24.17218,120.58243
24.36009,120.62257
24.3406,120.64018
24.37339,120.66497
24.16651,120.69636
24.94457,121.37037
24.98928,121.41107
24.99334,121.42652
25.01634,121.47523
25.02473,121.4506
24.94363,121.37212
24.95041,121.37901
24.94254,121.36547
24.99404,121.48917
25.01068,121.45188
25.00134,121.48391
25.02929,121.47611
24.98403,121.46628
24.98144,121.44815
24.98276,121.44478
25.04937,121.47421
25.005,121.45064
25.07914,121.49629
24.24505,120.53809
24.09632,120.6688
24.13826,120.71905
24.12364,120.61912
25.05365,121.47621
24.97666,121.51546
24.94441,121.3701
25.03811,121.52855
24.94447,121.38067
25.02729,121.48183
24.97551,121.6562
25.0057,121.65159
24.94723,121.37117
24.9492,121.37505
25.08801,121.48214
25.04148,121.5287
25.01027,121.53998
24.95672,121.3532
24.94216,121.33884
25.01946,121.47099
24.9395,121.36433
24.94557,121.37249
24.94499,121.37146
24.94494,121.3712
24.94438,121.37333
24.94325,121.37121
24.94396,121.36912
24.94334,121.36743
24.84006,121.02084
25.02832,121.55592
25.03303,121.54372
24.94095,121.37397
25.02776,121.45537
24.22729,120.70581
24.19632,120.68503
24.15591,120.6992
25.09886,121.51835
25.04728,121.58605
25.05129,121.56426
25.06265,121.57427
25.09016,121.48182
24.97097,121.53718
24.96623,121.51635
24.96039,121.50882
25.00557,121.45345
22.6347,120.28037
22.63832,120.31768
24.19104,120.61665
24.18959,120.61751
25.00655,121.48791
24.99636,121.42853
25.07813,121.66821
25.07258,121.66558
25.16771,121.44684
25.01702,121.4692
25.02323,121.47835
25.02378,121.47482
25.08203,121.38138
25.08055,121.67187
24.98825,121.4454
25.06209,121.45766
25.02394,121.43491
25.02271,121.42532
25.05895,121.45355
25.07914,121.38689
25.08048,121.39804
25.08141,121.38353
25.08712,121.37961
25.06841,121.63533
25.05899,121.47409
25.09283,121.44472
25.07221,121.49994
25.16208,121.42509
24.95474,121.50964
24.97193,121.51928
25.0665,121.4497
24.97775,121.54284
24.95101,121.49418
24.18217,120.71168
24.22298,120.55704
24.26315,120.54637
24.96525,121.51717
24.98338,121.5183
24.95312,121.49816
24.95453,121.50368
24.95351,121.49833
22.72344,120.30111
22.77105,120.25343
22.76458,120.26438
22.72949,120.25465
22.71752,120.30334
22.7211,120.30347
22.59753,120.29395
22.59588,120.29137
22.58499,120.35237
22.68495,120.30584
22.73305,120.30182
22.74494,120.26227
22.65643,120.30333
25.18296,121.44412
25.1956,121.68602
25.18509,121.44227
25.16083,121.4579
24.24367,120.60837
24.13392,120.7357
24.18664,120.70262
24.11198,120.65977
24.13486,120.68051
25.18123,121.43567
25.18459,121.42044
25.02373,121.45544
24.93455,121.37824
25.05604,121.47404
24.97374,121.53538
24.94702,121.49674
24.96484,121.51564
24.94483,121.47917
24.94679,121.48985
25.02396,121.45269
24.93513,121.39008
24.97991,121.45049
25.00118,121.45192
25.12595,121.51098
25.06723,121.673
24.04067,120.66963
24.26008,120.71181
24.24898,120.83556
24.26684,120.75102
24.17011,120.67108
24.15162,120.66867
25.17811,121.68907
24.97681,121.44437
25.05296,121.61713
22.7254,120.28589
25.02326,121.56329
24.98944,121.56195
24.98808,121.54723
25.08227,121.5909
25.06643,121.61732
25.08464,121.57945
25.0786,121.58302
25.0788,121.38918
25.07195,121.39021
25.00979,121.45436
25.0794,121.6625
24.9908,121.48211
25.06763,121.35858
25.06687,121.36123
25.07549,121.37905
25.07511,121.38133
25.00811,121.49216
22.58239,120.35749
22.58049,120.35403
22.56632,120.33854
22.56726,120.31593
24.10849,120.61566
24.22976,120.53256
24.27003,120.56335
24.18378,120.70697
24.18816,120.68911
24.37477,120.68058
24.10495,120.70657
24.16523,120.64673
25.01979,121.5009
25.02974,121.55146
25.02268,121.53608
25.01529,121.46438
24.95577,121.34128
25.01585,121.41359
25.01936,121.48153
24.98184,121.50956
24.99853,121.48645
25.0488,121.58742
25.02605,121.5577
25.02589,121.56073
25.04724,121.51272
22.56338,120.4257
22.61488,120.40995
22.75347,120.35812
22.6561,120.31083
22.64446,120.32625
22.78258,120.29933
22.7296,120.29214
22.67804,120.30608
22.68814,120.3206
22.59636,120.33722
22.63685,120.32718
25.05457,121.58781
25.05381,121.58638
25.05454,121.55417
24.04954,120.67534
24.10385,120.66937
24.18782,120.7042
24.18631,120.70261
24.1567,120.63594
24.15144,120.66801
24.14148,120.68707
24.26181,120.70402
24.06338,120.67899
24.26502,120.73883
24.26242,120.73983
25.05333,121.47427
25.19157,121.44198
25.0211,121.411
22.63785,120.30342
25.17254,121.4407
25.18665,121.43273
24.14749,120.70786
24.38413,120.61533
24.25824,120.53763
24.28701,120.54383
24.28829,120.54191
24.19814,120.62368
25.00274,121.49253
25.04557,121.58629
22.70859,120.34766
22.72279,120.2847
22.6119,120.30959
22.63651,120.28562
22.56861,120.37758
22.66511,120.28037
22.66241,120.27796
22.64632,120.31429
22.64143,120.30255
24.20392,120.83975
24.12269,120.65365
24.94117,121.34116
25.03398,121.44186
25.02191,121.42636
24.99917,121.44347
25.00223,121.48526
25.05427,121.53896
25.05418,121.54332
25.06419,121.53732
24.96314,121.42679
25.08416,121.59665
24.98768,121.56565
25.09677,121.51931
24.14864,120.54404
24.26077,120.55427
22.6005,120.39266
22.60045,120.32398
22.63317,120.29551
22.65177,120.34355
22.73085,120.35566
22.80618,120.29687
22.58407,120.3252
25.03047,121.56838
25.04146,121.56731
25.05066,121.59431
25.04126,121.6118
25.13201,121.49817
25.10392,121.51244
25.04205,121.55657
25.03827,121.54802
24.97193,121.45915
24.97616,121.44162
25.06386,121.4638
24.98356,121.4269
24.99566,121.4784
25.06675,121.47557
25.0735,121.61258
25.08182,121.52431
25.11247,121.52914
25.06092,121.51126
24.1584,120.56832
24.2614,120.52977
25.01975,121.4992
25.02768,121.49134
25.0287,121.49156
25.04467,121.52357
25.0425,121.5227
25.02703,121.50686
25.01063,121.47236
25.03371,121.51068
25.03788,121.51904
25.03203,121.5615
25.0444,121.55397
25.03837,121.52345
25.0401,121.54122
24.30861,120.69291
22.7309,120.32448
24.80881,120.95461
22.74954,120.31411
22.7993,120.29165
22.73242,120.31912
22.58612,120.31107
22.63304,120.28845
25.03322,121.57433
25.04916,121.58906
24.94888,121.49409
24.95176,121.49035
25.03124,121.42108
24.97942,121.50632
24.92918,121.37726
24.98402,121.44283
25.06766,121.57459
25.06365,121.58609
25.06321,121.57681
23.46481,120.42459
23.50357,120.43912
23.48766,120.45961
23.48083,120.40341
23.49182,120.46997
23.48169,120.4641
25.0409,121.5705
25.08968,121.58352
24.06082,120.66783
24.25899,120.661
24.16093,120.72033
24.15302,120.6268
24.16871,120.67458
24.13035,120.69304
24.15098,120.65495
24.98247,121.50785
25.05545,121.61646
25.00825,121.53419
24.99696,121.54454
25.08036,121.5084
25.01346,121.51416
25.00135,121.46987
25.04267,121.45788
25.16205,121.45311
25.01551,121.53374
24.2611,120.52972
24.29125,120.56505
24.26171,120.55115
24.17061,120.69769
24.1598,120.62986
24.16012,120.627
24.11286,120.68519
24.11742,120.68111
24.15601,120.61687
25.13604,121.46346
25.08858,121.48056
25.03285,121.43548
24.90303,121.55224
25.02306,121.57036
25.02474,121.56741
25.05532,121.52769
25.06036,121.51996
25.08519,121.55498
25.08272,121.55624
25.06157,121.51683
25.06095,121.51428
22.59277,120.32526
22.63759,120.32357
22.67647,120.33775
22.60507,120.31976
22.61595,120.29268
22.61177,120.29348
22.62401,120.33802
23.48228,120.43492
22.59577,120.31737
22.58878,120.3114
22.60426,120.30989
22.60531,120.31585
22.62859,120.38635
23.46707,120.46179
23.48007,120.45689
22.62516,120.38725
25.01187,121.41691
24.31396,120.65912
24.18484,120.67038
24.17498,120.67449
24.13499,120.62687
24.1323,120.62885
24.38964,120.65425
24.24971,120.59866
22.66475,120.29209
22.62209,120.29748
22.74999,120.31122
22.73,120.34664
22.83343,120.26263
22.73592,120.32599
22.73723,120.33301
22.56442,120.36654
22.65128,120.28923
22.62509,120.29168
25.0542,121.5491
25.10171,121.51263
25.09013,121.52054
25.03002,121.54893
25.03054,121.52466
25.03827,121.62274
25.12082,121.50727
25.01836,121.47072
25.00694,121.41264
25.05543,121.5892
25.05394,121.59124
24.174,120.62378
24.91255,121.53739
24.91988,121.54668
24.39483,120.60044
24.3359,120.60062
24.33376,120.59809
24.1722,120.70754
24.16783,120.65778
24.172,120.61525
25.13043,121.50017
25.13076,121.47347
24.99279,121.54255
25.01086,121.48603
25.07583,121.48255
25.01169,121.48521
25.03562,121.47255
25.01419,121.4498
25.04659,121.52377
24.95186,121.48628
22.67154,120.30031
24.22542,120.55431
24.11356,120.72134
24.17997,120.74118
24.16749,120.72442
24.16556,120.54403
25.04692,121.52208
25.04272,121.53207
25.04113,121.53273
25.04879,121.51626
25.04597,121.52579
25.04074,121.51586
25.04461,121.5188
22.8098,120.26129
22.59741,120.31114
22.6495,120.32468
22.65987,120.31819
25.05152,121.55243
23.48974,120.40573
23.48398,120.47512
24.98939,121.57682
25.05181,121.5521
25.05764,121.54443
25.00743,121.55877
24.94909,121.36809
24.93192,121.40753
24.10807,120.59538
24.10881,120.59496
24.11219,120.58866
24.14337,120.63539
24.14349,120.63565
24.1429,120.63607
24.27592,120.77406
24.21184,120.6309
24.22627,120.56765
24.16252,120.70647
24.07979,120.69899
24.085,120.69518
25.07709,121.49417
25.04942,121.57503
25.05014,121.57692
25.05614,121.45804
22.65648,120.29743
22.65589,120.29018
22.63098,120.30621
25.07403,121.48907
22.4991,120.40603
22.68103,120.32428
22.658,120.27881
22.65306,120.27919
22.65069,120.30832
25.08634,121.49602
24.70028,120.85963
24.70249,120.88081
24.70897,120.89664
24.70695,120.91475
24.44325,120.65154
24.44814,120.65606
24.43932,120.65296
24.43749,120.65504
24.41664,120.68589
25.06228,121.53702
25.06688,121.5257
25.04699,121.53075
25.08762,121.52711
25.07059,121.52812
25.16359,121.41251
25.05196,121.5433
22.63803,120.32076
24.14386,120.64645
24.11574,120.65501
25.01039,121.51375
25.1439,121.49447
25.08431,121.54755
25.01816,121.54469
22.7964,120.32678
24.96711,121.43688
24.96744,121.43677
24.95521,121.34727
24.95356,121.34693
25.01452,121.51057
22.62583,120.28509
22.63283,120.30553
24.9836,121.51138
24.179,120.54927
24.15952,120.53963
24.20434,120.72041
24.17557,120.56615
24.26418,120.72219
24.24655,120.83246
24.23739,120.62642
24.03118,120.63932
25.11879,121.51921
25.04765,121.4656
25.04792,121.45672
24.81601,120.97953
22.88174,120.49127
22.67842,120.29541
22.62123,120.3758
22.75927,120.29405
22.76183,120.30495
22.56735,120.34802
22.58213,120.3611
24.11199,120.59021
24.16091,120.73343
24.17565,120.62288
24.24458,120.71583
24.21195,120.66453
24.17744,120.65027
25.25898,121.50182
25.25119,121.50125
25.25719,121.4994
25.08004,121.57568
25.0131,121.51544
25.01223,121.51526
25.06597,121.35992
25.07539,121.6203
24.79007,121.01066
25.05452,121.54636
25.06058,121.5866
25.00013,121.49171
24.99244,121.51513
24.26601,120.53376
24.2415,120.61467
24.20084,120.6942
24.25447,120.74818
24.12974,120.66854
24.12965,120.66831
25.06128,121.63535
25.06395,121.5023
25.0317,121.50033
25.07849,121.61666
24.97914,121.54351
25.01803,121.51553
25.00218,121.51498
24.99149,121.50683
24.96337,121.54185
24.96561,121.54061
25.15709,121.41033
25.14896,121.4026
24.77937,121.02453
24.81107,121.01947
24.82768,121.01799
24.80309,121.03649
24.97492,121.54389
24.9966,121.5403
25.07744,121.46868
24.98047,121.54878
24.97862,121.55028
24.98037,121.5445
25.13258,121.49862
25.03158,121.51464
24.83327,121.02492
24.82253,121.01054
24.83332,120.99998
24.80175,121.04212
24.83367,121.01917
25.02101,121.54153
24.83642,121.0254
24.98278,121.55102
25.07872,121.48636
25.08287,121.47059
25.02104,121.47917
25.08006,121.49955
22.87804,120.49619
24.11329,120.66088
24.12384,120.68481
24.12627,120.69321
24.12488,120.68889
24.97151,121.39591
25.00717,121.41774
23.48774,120.44492
23.4736,120.40766
23.48464,120.45373
23.47139,120.44495
23.47064,120.43789
23.48961,120.44683
23.46989,120.45954
23.48059,120.45868
23.45924,120.45235
24.97563,121.40947
24.93522,121.70528
24.97986,121.41239
24.97872,121.40999
24.97831,121.41149
25.06671,121.58913
25.07392,121.61545
25.05004,121.54043
24.99609,121.54284
24.29228,120.6324
24.09143,120.71132
24.11888,120.66845
24.12265,120.64884
24.11999,120.66243
22.71142,120.29635
25.0108,121.42446
24.99728,121.46529
25.04719,121.58058
25.03459,121.55164
25.0615,121.56332
25.04985,121.57189
24.93555,121.71021
24.93475,121.71254
25.07201,121.6627
25.05253,121.54256
25.10336,121.52263
24.982,121.5717
25.04478,121.53661
25.02821,121.54864
25.05313,121.43909
24.2623,120.57253
24.26671,120.56133
24.30466,120.60101
24.38214,120.60657
24.33932,120.62213
24.26726,120.56634
24.26417,120.56294
24.20587,120.62868
25.06641,121.63077
25.06786,121.66801
25.06538,121.65693
25.07335,121.66255
24.99828,121.44286
25.05734,121.49181
24.98635,121.46609
25.07182,121.51929
25.03328,121.5425
25.02055,121.52855
25.06669,121.51615
24.80516,120.99283
24.79048,120.96508
24.79684,120.99669
25.07243,121.57416
22.62742,120.28278
25.07823,121.5898
24.19078,120.70238
24.25846,120.53785
24.25328,120.5506
24.16257,120.65365
24.13434,120.6601
24.20121,120.70379
24.19747,120.64228
24.04048,120.64171
24.98962,121.41595
24.99948,121.42756
24.98235,121.42132
24.98716,121.44639
25.20081,121.43177
25.19548,121.42311
23.46395,120.41849
23.46928,120.44488
23.4554,120.45562
22.56269,120.34965
24.82594,121.01237
24.82048,121.02702
24.83942,121.00361
24.83969,121.00934
24.83874,121.00916
24.80777,121.03895
24.80625,121.04071
24.82733,121.00952
24.83687,121.00444
24.84064,121.00111
24.82168,121.02361
24.83552,121.01181
24.83604,121.01583
24.81143,121.03018
24.81574,121.02721
24.81913,121.01859
24.81498,121.01923
24.82815,121.02733
24.82072,121.03144
24.80925,121.02546
24.81503,121.03075
24.80843,121.03004
24.80374,121.03218
24.81114,121.02743
24.83644,120.99874
24.84121,120.99405
24.83069,121.013
24.82393,121.02851
24.82375,121.03338
24.81101,121.03963
24.81897,121.02735
24.82553,121.00108
24.82246,121.01549
24.84097,121.01199
24.83537,121.00851
24.83316,121.01354
24.83231,121.00963
24.83247,121.00626
24.82921,121.00632
24.81094,121.03437
24.82699,121.00487
25.07814,121.48417
25.16979,121.45241
25.19162,121.43477
22.62546,120.33332
25.08478,121.46108
24.9822,121.42758
25.07657,121.47985
22.66773,120.31905
25.02365,121.44966
25.06468,121.492
25.07781,121.49128
25.07703,121.48635
25.0718,121.4949
25.05662,121.50783
22.703,120.35422
24.16644,120.64412
24.19104,120.65226
24.10659,120.67698
24.9518,121.35445
24.95567,121.35992
24.95012,121.35245
25.01531,121.46624
25.02184,121.44828
25.08238,121.52309
25.09765,121.52757
25.0812,121.57067
25.08781,121.55872
25.04633,121.43938
25.07192,121.61955
22.63735,120.35078
24.93951,121.37816
25.04066,121.58877
22.80929,120.28135
23.08244,120.58698
24.19438,120.68992
24.26495,120.72675
24.17826,120.715
24.17668,120.73371
24.20372,120.65315
24.11576,120.65738
24.12776,120.67612
24.15861,120.7247
24.15749,120.69906
24.15195,120.68344
24.13283,120.67592
25.1667,121.44675
25.10203,121.52561
25.10585,121.52376
24.93474,121.36779
24.94319,121.37233
25.16206,121.45607
25.18536,121.43187
25.05226,121.54926
25.05658,121.50826
25.03106,121.47314
25.03043,121.47162
25.02999,121.472
25.02946,121.47307
24.97881,121.45096
25.01644,121.45617
22.65235,120.33646
25.09561,121.52552
25.0246,121.41336
24.97875,121.53587
25.07702,121.46765
24.20428,120.79622
24.16462,120.66397
24.14817,120.62301
24.15585,120.64202
24.15665,120.64666
24.15764,120.64211
24.16165,120.65185
24.20171,120.62781
25.02491,121.41682
24.98842,121.43032
24.94584,121.3743
24.19339,120.71982
24.2405,120.80959
24.2408,120.71452
25.09113,121.4651
24.98795,121.47236
25.06587,121.51847
24.79702,121.00077
24.78121,121.02037
24.80753,120.95848
24.78398,120.91506
24.79513,120.97988
24.79521,120.973
24.80361,120.98422
24.8076,120.98482
24.82073,120.99443
24.82444,120.97919
24.84199,120.94046
24.8225,120.91015
24.76966,120.91399
24.74289,120.89443
24.80896,120.96696
24.77774,121.02194
24.80613,120.978
24.79892,120.994
24.80239,120.97138
24.80393,120.97051
24.80933,120.97426
24.79429,120.96453
24.80018,120.98126
24.7843,120.99642
24.81264,120.96827
24.80379,120.95662
24.81644,120.97056
24.78743,121.01736
24.77454,120.9685
24.80835,120.98668
24.81713,120.96398
24.76316,120.91382
24.77803,120.94047
24.80277,120.9932
24.81246,120.98503
24.79828,120.97042
24.80712,121.00206
24.80512,120.94429
24.79912,120.95243
24.78943,120.92778
24.78699,120.92856
24.80614,120.96926
24.82037,120.96796
24.82142,120.96025
24.79645,120.94452
24.80432,120.97366
24.78488,121.01833
24.78811,121.02183
24.79535,120.99197
24.80258,120.97872
24.80338,120.96668
24.81123,120.97962
24.79943,120.95726
24.80778,120.96086
24.7894,121.00026
24.78473,120.99994
24.8009,120.97319
24.81388,120.97399
24.80963,120.98351
24.80167,120.96576
24.79703,120.98755
24.79307,120.99335
22.72155,120.30875
22.64448,120.28942
