WKT,行政區,場所名稱,場所地址,管理單位,連絡電話,場所開放時間,飲水台數,設置地點,緯度,經度,名稱,說明,鄉鎮市區,地址,描述,聯絡電話,開放星期(一),開放時間(一),開放星期(二),開放時間(二),冰,溫,熱,WGS84_X,WGS84_Y
"POINT (121.5508034 25.01604062)",大安,臺北市立圖書館大安分館,臺北市大安區辛亥路三段223號4樓,臺北市立圖書館大安分館,02-27325422,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3.0,館內,25.01604062,121.5508034,,,,,,,,,,,,,,,
"POINT (121.546756 25.08188459)",中山,臺北市立圖書館大直分館,臺北市中山區大直街25號3樓,臺北市立圖書館大直分館,02-25336535,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3.0,館內,25.08188459,121.546756,,,,,,,,,,,,,,,
"POINT (121.5335052 25.06438509)",中山,臺北市立圖書館中山分館,臺北市中山區松江路367號8樓,臺北市立圖書館中山分館,02-25026442,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,25.06438509,121.5335052,,,,,,,,,,,,,,,
"POINT (121.5458384 25.0484271)",松山,臺北市立圖書館中崙分館,臺北市松山區長安東路2段229號7~10樓,臺北市立圖書館中崙分館,02-87736858,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3.0,館內,25.0484271,121.5458384,,,,,,,,,,,,,,,
"POINT (121.5890989 25.06923161)",內湖,臺北市立圖書館內湖分館,臺北市內湖區民權東路六段99號6樓,臺北市立圖書館內湖分館,02-27918772,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1.0,館內,25.06923161,121.5890989,,,,,,,,,,,,,,,
"POINT (121.5688375 25.02432019)",信義,臺北市立圖書館六合分館,臺北市信義區松仁路240巷19號3~5樓,臺北市立圖書館六合分館,02-27292485,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5.0,館內,25.02432019,121.5688375,,,,,,,,,,,,,,,
"POINT (121.5330612 25.12361421)",士林,臺北市立圖書館天母分館,臺北市士林區中山北路七段154巷6號3樓,臺北市立圖書館天母分館,02-28736203,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,25.12361421,121.5330612,,,,,,,,,,,,,,,
"POINT (121.5514187 25.00158548)",文山,臺北市立圖書館文山分館,臺北市文山區興隆路二段160號7-9樓,臺北市立圖書館文山分館,02-29315339,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3.0,館內,25.00158548,121.5514187,,,,,,,,,,,,,,,
"POINT (121.5691594 24.98851297)",文山,臺北市立圖書館木柵分館,臺北市文山區保儀路一段13巷3號3樓,臺北市立圖書館木柵分館,02-29397520,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,24.98851297,121.5691594,,,,,,,,,,,,,,,
"POINT (121.5063763 25.1365254)",北投,臺北市立圖書館北投分館,臺北市北投區光明路251號,臺北市立圖書館北投分館,02-28912095,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3.0,館內,25.1365254,121.5063763,,,,,,,,,,,,,,,
"POINT (121.5238423 25.02268178)",中正,臺北市立圖書館古亭分館,臺北市中正區汀州路二段265號,臺北市立圖書館古亭分館,02-23678734,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3.0,館內,25.02268178,121.5238423,,,,,,,,,,,,,,,
"POINT (121.5515192 25.05718185)",松山,臺北市立圖書館民生分館,臺北市松山區敦化北路199巷5號4樓,臺北市立圖書館民生分館,02-27138083,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3.0,館內,25.05718185,121.5515192,,,,,,,,,,,,,,,
"POINT (121.5175113 25.11832386)",北投,臺北市立圖書館永明閱覽室,臺北市北投區石牌路二段115號7、8樓,臺北市立圖書館永明閱覽室,02-28234141,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,25.11832386,121.5175113,,,,,,,,,,,,,,,
"POINT (121.5509396 24.98775989)",文山,臺北市立圖書館永建分館,臺北市文山區木柵路一段177號4樓,臺北市立圖書館永建分館,02-22367448,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,24.98775989,121.5509396,,,,,,,,,,,,,,,
"POINT (121.5776147 25.04309149)",信義,臺北市立圖書館永春分館,臺北市信義區松山路294號3、4樓,臺北市立圖書館永春分館,02-27609730,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3.0,館內,25.04309149,121.5776147,,,,,,,,,,,,,,,
"POINT (121.5227624 25.1130648)",北投,臺北市立圖書館石牌分館,臺北市北投區明德路208巷5號3-10樓,臺北市立圖書館石牌分館,02-28239634,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,8.0,館內,25.1130648,121.5227624,,,,,,,,,,,,,,,
"POINT (121.5083853 25.11930587)",北投,臺北市立圖書館吉利分館,臺北市北投區立農街一段366號,臺北市立圖書館吉利分館,02-28201633,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3.0,館內,25.11930587,121.5083853,,,,,,,,,,,,,,,
"POINT (121.56071 24.98780899)",文山,臺北市立圖書館安康民眾閱覽室,臺北市文山區興隆路4段105巷1號4樓,臺北市立圖書館安康民眾閱覽室,02-29390180,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1.0,館內,24.98780899,121.56071,,,,,,,,,,,,,,,
"POINT (121.5452723 25.02543629)",大安,臺北市立圖書館成功民眾閱覽室,臺北市大安區和平東路二段311巷29號4樓,臺北市立圖書館成功民眾閱覽室,02-27013604,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1.0,館內,25.02543629,121.5452723,,,,,,,,,,,,,,,
"POINT (121.5666419 25.08473298)",內湖,臺北市立圖書館西中分館,臺北市內湖區內湖路1段285巷66號1-2樓,臺北市立圖書館西中分館,02-87515497,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,25.08473298,121.5666419,,,,,,,,,,,,,,,
"POINT (121.5772424 25.07868698)",內湖,臺北市立圖書館西湖分館,臺北市內湖區內湖路一段594號,臺北市立圖書館西湖分館,02-27973183,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4.0,館內,25.07868698,121.5772424,,,,,,,,,,,,,,,
"POINT (121.5017176 25.03219528)",萬華,臺北市立圖書館西園分館,臺北市萬華區興寧街6號,臺北市立圖書館西園分館,02-23069046,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5.0,館內,25.03219528,121.5017176,,,,,,,,,,,,,,,
"POINT (121.4931619 25.14560371)",北投,臺北市立圖書館秀山民眾閱覽室,臺北市北投區中和街534號5至9樓,臺北市立圖書館秀山民眾閱覽室,02-28921475,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,25.14560371,121.4931619,,,,,,,,,,,,,,,
"POINT (121.5120921 25.05916988)",大同,臺北市立圖書館延平分館,臺北市大同區保安街47號,臺北市立圖書館延平分館,02-25981387,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,6.0,館內,25.05916988,121.5120921,,,,,,,,,,,,,,,
"POINT (121.5550882 25.03641012)",大安,臺北市立圖書館延吉民眾閱覽室,臺北市大安區延吉街236巷17號3~4F,臺北市立圖書館延吉民眾閱覽室,02-27081964,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,25.03641012,121.5550882,,,,,,,,,,,,,,,
"POINT (121.6126097 25.06741638)",內湖,臺北市立圖書館東湖分館,臺北市內湖區五分街6號,臺北市立圖書館東湖分館,02-26323378,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1.0,館內,25.06741638,121.6126097,,,,,,,,,,,,,,,
"POINT (121.4981386 25.02266195)",萬華,臺北市立圖書館東園分館,臺北市萬華區東園街199號,臺北市立圖書館東園分館,02-23070460,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4.0,館內,25.02266195,121.4981386,,,,,,,,,,,,,,,
"POINT (121.5768489 25.04987447)",松山,臺北市立圖書館松山分館,臺北市松山區八德路四段688號6、7、8樓,臺北市立圖書館松山分館,02-27531875,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4.0,館內,25.04987447,121.5768489,,,,,,,,,,,,,,,
"POINT (121.5209543 25.05021082)",中山,臺北市立圖書館長安分館,臺北市中山區長安西路3號4樓,臺北市立圖書館長安分館,02-25625510,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1.0,館內,25.05021082,121.5209543,,,,,,,,,,,,,,,
"POINT (121.6080389 25.05493127)",南港,臺北市立圖書館南港分館,臺北市南港區南港路一段350號,臺北市立圖書館南港分館,02-27825232,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,25.05493127,121.6080389,,,,,,,,,,,,,,,
"POINT (121.5309525 25.04021095)",中正,臺北市立圖書館城中分館,臺北市中正區濟南路二段46號3樓,臺北市立圖書館城中分館,02-23938274,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,25.04021095,121.5309525,,,,,,,,,,,,,,,
"POINT (121.5163948 25.05691233)",大同,臺北市立圖書館建成分館,臺北市大同區民生西路198號4樓,臺北市立圖書館建成分館,02-25582320,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1.0,館內,25.05691233,121.5163948,,,,,,,,,,,,,,,
"POINT (121.527194 25.06337153)",中山,臺北市立圖書館恆安民眾閱覽室,臺北市中山區民權東路一段71巷19號,臺北市立圖書館恆安民眾閱覽室,02-25935482,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,25.06337153,121.527194,,,,,,,,,,,,,,,
"POINT (121.495379 25.03691426)",萬華,臺北市立圖書館柳鄉民眾閱覽室,臺北市萬華區環河南路二段102號4樓,臺北市立圖書館柳鄉民眾閱覽室,02-23080586,09:00~17:00,1.0,館內,25.03691426,121.495379,,,,,,,,,,,,,,,
"POINT (121.5514689 25.05456382)",松山,臺北市立圖書館啟明分館,臺北市松山區敦化北路155巷76號,臺北市立圖書館啟明分館,02-25148443,09:00~17:00,4.0,館內,25.05456382,121.5514689,,,,,,,,,,,,,,,
"POINT (121.5069371 25.12772843)",北投,臺北市立圖書館清江分館,臺北市北投區公館路198號3樓,臺北市立圖書館清江分館,02-28960315,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,25.12772843,121.5069371,,,,,,,,,,,,,,,
"POINT (121.5363351 25.00362011)",文山,臺北市立圖書館景美分館,臺北市文山區羅斯福路五段176巷50號,臺北市立圖書館景美分館,02-29328457,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3.0,館內,25.00362011,121.5363351,,,,,,,,,,,,,,,
"POINT (121.5419023 24.98992816)",文山,臺北市立圖書館景新分館,臺北市文山區景後街151號5號10樓,臺北市立圖書館景新分館,02-29331244,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,7.0,館內,24.98992816,121.5419023,,,,,,,,,,,,,,,
"POINT (121.5691783 25.00221578)",文山,臺北市立圖書館萬芳民眾閱覽室,臺北市文山區萬美街1段25號,臺北市立圖書館萬芳民眾閱覽室,02-22305233,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1.0,館內,25.00221578,121.5691783,,,,,,,,,,,,,,,
"POINT (121.4957676 25.02770851)",萬華,臺北市立圖書館萬華分館,臺北市東園街19號5~7樓,臺北市立圖書館萬華分館,02-23391056,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3.0,館內,25.02770851,121.4957676,,,,,,,,,,,,,,,
"POINT (121.5765014 24.98868577)",文山,臺北市立圖書館萬興分館,臺北市文山區萬壽路27號4樓,臺北市立圖書館萬興分館,02-22345501,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4.0,館內,24.98868577,121.5765014,,,,,,,,,,,,,,,
"POINT (121.5107817 25.08230568)",士林,臺北市立圖書館葫蘆堵分館,臺北市士林區延平北路5段136巷1號,臺北市立圖書館葫蘆堵分館,02-28126513,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5.0,館內,25.08230568,121.5107817,,,,,,,,,,,,,,,
"POINT (121.5440498 25.02157737)",大安,臺北市立圖書館道藩分館,臺北市大安區辛亥路三段11號3樓,臺北市立圖書館道藩分館,02-27334031,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1.0,館內,25.02157737,121.5440498,,,,,,,,,,,,,,,
"POINT (121.4894972 25.14102112)",北投,臺北市立圖書館稻香分館,臺北市北投區稻香路81號3、4樓,臺北市立圖書館稻香分館,02-28940662,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3.0,館內,25.14102112,121.4894972,,,,,,,,,,,,,,,
"POINT (121.5023347 25.0385262)",萬華,臺北市立圖書館龍山分館,臺北市萬華區桂林路65巷6號,臺北市立圖書館龍山分館,02-23311497,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,25.0385262,121.5023347,,,,,,,,,,,,,,,
"POINT (121.5294659 25.02853871)",大安,臺北市立圖書館龍安民眾閱覽室,臺北市大安區永康街60號3樓,臺北市立圖書館龍安民眾閱覽室,02-23945485,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,25.02853871,121.5294659,,,,,,,,,,,,,,,
"POINT (121.5870033 25.04759188)",南港,臺北市立圖書館龍華民眾閱覽室,臺北市南港區東新街63巷8號,臺北市立圖書館龍華民眾閱覽室,02-27851740,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2.0,館內,25.04759188,121.5870033,,,,,,,,,,,,,,,
"POINT (121.5383982 25.02915599)",大安,臺北市立圖書館總館,臺北市大安區建國南路二段125號,臺北市立圖書館總館,02-27552823,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,21.0,館內,25.02915599,121.5383982,,,,,,,,,,,,,,,
"POINT (121.6194389 25.04132987)",南港,臺北市立圖書館舊莊分館,臺北市南港區舊莊街1段91巷11號2樓,臺北市立圖書館舊莊分館,02-27837212,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4.0,館內,25.04132987,121.6194389,,,,,,,,,,,,,,,
"POINT (121.5151563 25.06624358)",大同,臺北市立圖書館蘭州民眾閱覽室,臺北市大同區昌吉街57號4樓,臺北市立圖書館蘭州民眾閱覽室,02-25981387,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1.0,館內,25.06624358,121.5151563,,,,,,,,,,,,,,,
"POINT (121.5094199 25.05113521)",大同,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,臺北市立聯合醫院中興院區,02-25523234#3279,00:00~24:00,48.0,院區內,25.05113521,121.5094199,,,,,,,,,,,,,,,
"POINT (121.5452249 25.03720801)",大安,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路4段10號,臺北市立聯合醫院仁愛院區,02-27093600,00:00~24:00,55.0,院區內,25.03720801,121.5452249,,,,,,,,,,,,,,,
"POINT (121.5068341 25.03553378)",中正,臺北市立聯合醫院和平院區,臺北市中正區中華路2段33號,臺北市立聯合醫院和平院區,02-23889595,00:00~24:00,32.0,院區內,25.03553378,121.5068341,,,,,,,,,,,,,,,
"POINT (121.519273 25.0290017)",中正,臺北市立聯合醫院和平婦幼院區,臺北市中正區福州街12號,臺北市立聯合醫院和平婦幼院區,02-23916470#214,00:00~24:00,18.0,院區內,25.0290017,121.519273,,,,,,,,,,,,,,,
"POINT (121.5861412 25.04654103)",南港,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,臺北市立聯合醫院忠孝院區,02-27861288#8094,00:00~24:00,35.0,院區內,25.04654103,121.5861412,,,,,,,,,,,,,,,
"POINT (121.5744646 25.02966198)",信義,臺北市立聯合醫院松德院區,臺北市信義區松德路309號,臺北市立聯合醫院松德院區,02-27263141#1390,00:00~24:00,40.0,院區內,25.02966198,121.5744646,,,,,,,,,,,,,,,
"POINT (121.5254374 25.06349708)",中山,臺北市立聯合醫院林森院區,臺北市中山區林森北路530號,臺北市立聯合醫院林森中醫院區,02-25916681#533,00:00~24:00,8.0,院區內,25.06349708,121.5254374,,,,,,,,,,,,,,,
"POINT (121.5321811 25.10528287)",士林,臺北市立聯合醫院陽明院區,臺北市士林區雨聲街105號,臺北市立聯合醫院陽明院區,02-28353456,00:00~24:00,47.0,院區內,25.10528287,121.5321811,,,,,,,,,,,,,,,
"POINT (121.5047331 25.0443191)",萬華,臺北市立聯合醫院林森中醫昆明院區,臺北市萬華區昆明街100號,臺北市立聯合醫院中醫院區,02-23887008,00:00~24:00,13.0,院區內,25.0443191,121.5047331,,,,,,,,,,,,,,,
"POINT (121.5195654 25.09275474)",士林,士林區公所,臺北市士林區中正路439號,士林區公所,02-28826200,週一至週五：08:30~17:30,7.0,建物內,25.09275474,121.5195654,,,,,,,,,,,,,,,
"POINT (121.5196371 25.09267739)",士林,士林區戶政事務所,臺北市士林區中正路439號,士林區戶政事務所,02-28803252,週一至週五：08:30~20:00,4.0,建物內,25.09267739,121.5196371,,,,,,,,,,,,,,,
"POINT (121.5196788 25.09271129)",士林,士林地政事務所,臺北市士林區中正路439號,士林區地政事務所,02-28812483,週一至週五：08:30~17:00,3.0,建物內,25.09271129,121.5196788,,,,,,,,,,,,,,,
"POINT (121.5152676 25.06619335)",大同,大同區公所,臺北市大同區昌吉街57號,大同區公所,02-25975323,週一至週五：08:30~17:30,3.0,建物內,25.06619335,121.5152676,,,,,,,,,,,,,,,
"POINT (121.51512 25.06605909)",大同,大同區戶政事務所,臺北市大同區昌吉街57號,大同區戶政事務所,02-25942569,週一至週五：08:30~20:00,1.0,建物內,25.06605909,121.51512,,,,,,,,,,,,,,,
"POINT (121.556438 25.03382748)",大安,大安地政事務所,臺北市大安區信義路四段335巷6號,大安地政事務所,02-27548900,週一至週五：08:30~17:00,5.0,建物內,25.03382748,121.556438,,,,,,,,,,,,,,,
"POINT (121.5345108 25.02642119)",大安,大安區公所,臺北市大安區新生南路二段86號,大安區公所,02-23511711,週一至週五：08:30~17:30,4.0,建物內,25.02642119,121.5345108,,,,,,,,,,,,,,,
"POINT (121.5345116 25.02642041)",大安,大安區戶政事務所,臺北市大安區新生南路二段86號,大安區戶政事務所,02-23587877,週一至週五：08:30~20:00,2.0,建物內,25.02642041,121.5345116,,,,,,,,,,,,,,,
"POINT (121.5335765 25.06427716)",中山,中山區公所,臺北市中山區松江路367號,中山區公所,02-25031369,週一至週五：08:30~17:30,3.0,建物內,25.06427716,121.5335765,,,,,,,,,,,,,,,
"POINT (121.5336001 25.06443053)",中山,中山區戶政事務所,臺北市中山區松江路367號,中山區戶政事務所,02-25032461,週一至週五：08:30~20:00,1.0,建物內,25.06443053,121.5336001,,,,,,,,,,,,,,,
"POINT (121.5341569 25.06363567)",中山,中山區地政事務所,臺北市中山區松江路357巷1號,中山區地政事務所,02-25022881,週一至週五：08:30~17:00,7.0,建物內,25.06363567,121.5341569,,,,,,,,,,,,,,,
"POINT (121.524762 25.04432179)",中正,中正區公所,臺北市中正區忠孝東路一段108號8樓,中正區公所,02-23416721,週一至週五：08:30~17:30,4.0,建物內,25.04432179,121.524762,,,,,,,,,,,,,,,
"POINT (121.5889481 25.06929002)",內湖,內湖區公所,臺北市內湖區民權東路6段99號,內湖區公所,02-27925828,週一至週五：08:30~17:30,4.0,建物內,25.06929002,121.5889481,,,,,,,,,,,,,,,
"POINT (121.5890863 25.06931819)",內湖,內湖區戶政事務所,臺北市內湖區民權東路六段99號,內湖區戶政事務所,02-27912277,週一至週五：08:30~20:00,1.0,建物內,25.06931819,121.5890863,,,,,,,,,,,,,,,
"POINT (121.5701323 24.98962449)",文山,文山區公所,臺北市文山區木柵路三段220號,文山區公所,02-29365522,週一至週五：08:30~17:30,5.0,建物內,24.98962449,121.5701323,,,,,,,,,,,,,,,
"POINT (121.570082 24.98963969)",文山,文山區戶政事務所,臺北市文山區木柵路三段220號,文山區戶政事務所,02-29395885,週一至週五：08:30~20:00,3.0,建物內,24.98963969,121.570082,,,,,,,,,,,,,,,
"POINT (121.5514195 25.00158612)",文山,文山區戶政事務所(景美辦事處),臺北市文山區興隆路二段160號,文山區戶政事務所(景美辦事處),02-29395885#2110,週一至週五：08:30~20:00,1.0,建物內,25.00158612,121.5514195,,,,,,,,,,,,,,,
"POINT (121.503268 25.13201618)",北投,北投區戶政事務所,臺北市北投區新市街30號,北投區戶政事務所,02-28924170,週一至週五：08:30~20:00,2.0,建物內,25.13201618,121.503268,,,,,,,,,,,,,,,
"POINT (121.5361239 25.00065043)",文山,古亭地政事務所,臺北市文山區萬隆街47之12號,古亭地政事務所,02-29355369,週一至週五：08:30~17:00,5.0,建物內,25.00065043,121.5361239,,,,,,,,,,,,,,,
"POINT (121.5772409 25.04984582)",松山,松山區公所,臺北市松山區八德路四段692號,松山區公所,02-87878787,週一至週五：08:30~17:30,4.0,建物內,25.04984582,121.5772409,,,,,,,,,,,,,,,
"POINT (121.577286 25.0499396)",松山,松山區戶政事務所,臺北市松山區八德路四段692號,松山區戶政事務所,02-27533043,週一至週五：08:30~20:00,2.0,建物內,25.0499396,121.577286,,,,,,,,,,,,,,,
"POINT (121.5661534 25.02884559)",信義,松山地政事務所,臺北市信義區莊敬路391巷11弄2號,松山區地政事務所,02-27230711,週一至週五：08:30~17:00,4.0,建物內,25.02884559,121.5661534,,,,,,,,,,,,,,,
"POINT (121.5668769 25.03315829)",信義,信義區公所,臺北市信義區信義路五段15號,信義區公所,02-27239777,週一至週五：08:30~17:30,7.0,建物內,25.03315829,121.5668769,,,,,,,,,,,,,,,
"POINT (121.5668474 25.03332693)",信義,信義區戶政事務所,臺北市信義區信義路五段15號,信義區戶政事務所,02-27233977,週一至週五：08:30~20:00,2.0,建物內,25.03332693,121.5668474,,,,,,,,,,,,,,,
"POINT (121.6066931 25.05470544)",南港,南港區公所,臺北市南港區南港路一段360號,南港區公所,02-27831343,週一至週五：08:30~17:30,5.0,建物內,25.05470544,121.6066931,,,,,,,,,,,,,,,
"POINT (121.606773 25.05455013)",南港,南港區戶政事務所,臺北市南港區南港路一段1段號360號4樓,南港區戶政事務所,02-27825196,週一至週五：08:30~20:00,1.0,建物內,25.05455013,121.606773,,,,,,,,,,,,,,,
"POINT (121.4998878 25.03500141)",萬華,建成地政事務所,臺北市萬華區和平西路三段120號,建成地政事務所,02-23062122,週一至週五：08:30~17:00,4.0,建物內,25.03500141,121.4998878,,,,,,,,,,,,,,,
"POINT (121.4997957 25.03483961)",萬華,萬華區公所,臺北市萬華區和平西路三段120號,萬華區公所,02-23064468,週一至週五：08:30~17:30,3.0,建物內,25.03483961,121.4997957,,,,,,,,,,,,,,,
"POINT (121.4998873 25.03500291)",萬華,萬華區戶政事務所,臺北市萬華區和平西路三段120號,萬華區戶政事務所,02-23062706,週一至週五：08:30~20:00,4.0,建物內,25.03500291,121.4998873,,,,,,,,,,,,,,,
"POINT (121.564433 25.03754067)",信義,臺北市政府,臺北市信義區市府路1號,臺北市政府,02-27208889,週一至週五：08:30~17:30,94.0,建物內,25.03754067,121.564433,,,,,,,,,,,,,,,
"POINT (121.5648419 25.04054645)",信義,市府轉運站,臺北市信義區忠孝東路5段6號,市府轉運站,02-87806252,依據起訖班車時間,2.0,建物內,25.04054645,121.5648419,,,,,,,,,,,,,,,
"POINT (121.5782828 25.04928416)",松山,交通部臺灣鐵路管理局-松山火車站,臺北市松山區松山路11號,交通部臺灣鐵路管理局-松山火車站,02-21910096,依據起訖班車時間,1.0,建物內,25.04928416,121.5782828,,,,,,,,,,,,,,,
"POINT (121.6069548 25.05308967)",南港,交通部臺灣鐵路管理局-南港火車站,臺北市南港區南港路一段313號,交通部臺灣鐵路管理局-南港火車站,02-21910096,依據起訖班車時間,6.0,建物內,25.05308967,121.6069548,,,,,,,,,,,,,,,
